NPI	NPPES_PROVIDER_LAST_ORG_NAME	NPPES_PROVIDER_FIRST_NAME	NPPES_PROVIDER_CITY	NPPES_PROVIDER_STATE	SPECIALTY_DESC	DESCRIPTION_FLAG	DRUG_NAME	GENERIC_NAME	BENE_COUNT	TOTAL_CLAIM_COUNT	TOTAL_DAY_SUPPLY	TOTAL_DRUG_COST	BENE_COUNT_GE65	BENE_COUNT_GE65_REDACT_FLAG	TOTAL_CLAIM_COUNT_GE65	GE65_REDACT_FLAG	TOTAL_DAY_SUPPLY_GE65	TOTAL_DRUG_COST_GE65
1669400222	AALBERG	JEFFREY	FALMOUTH	ME	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		13	450	2715.32		*	13		450	2715.32
1245332956	AARON	JAY	GREAT NECK	NY	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		26	1200	6734.24		*	26		1200	6734.24
1336129071	AARON	MICHAEL	NEPTUNE	NJ	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		11	630	3633.79		*		*		
1346226388	ABBOTTSMITH	CHARLES	CINCINNATI	OH	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		25	810	5179.35		#		#		
1629034905	ABBRUZZI	ANTHONY	PHILADELPHIA	PA	Internal Medicine	S	LIPITOR	ATORVASTATIN CALCIUM		14	420	2079.33		*		*		
1265531859	ABDALLAH	GHASSAN	MIDDLEBURG HEIGHTS	OH	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		15	570	2005.63		*	15		570	2005.63
1831354323	ABDELJABER	BASIL	WHITE PLAINS	NY	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		12	360	1669.79		*	12		360	1669.79
1629045778	ABDULMASSIH	ABDULMASSIH	SKOKIE	IL	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		18	776	5147.3		*		*		
1134185432	ABED	MARY	JERSEY CITY	NJ	Cardiology	S	LIPITOR	ATORVASTATIN CALCIUM		12	402	2599.95		*	12		402	2599.95
1225180961	ABEL	MARK	ROCKY MOUNT	NC	Family Practice	S	LIPITOR	ATORVASTATIN CALCIUM		17	690	3669.38		*	17		690	3669.38
